t,led,rgb
2.220900500000000,6,#000000
2.220930500000000,7,#000000
2.220960500000000,8,#7f7f7f
2.220990500000000,9,#000000
2.221020583333333,10,#000000
2.221050583333333,11,#7f7f7f
2.221080583333333,12,#000000
2.271240916666667,0,#7f7f7f
2.271270916666666,1,#000000
2.271300916666667,2,#000000
2.271331000000000,3,#7f7f7f
2.271361000000000,4,#000000
2.271391000000000,5,#000000
2.271421000000000,6,#7f7f7f
2.271451000000000,7,#000000
2.271481083333333,8,#000000
2.271511083333333,9,#7f7f7f
2.271541083333333,10,#000000
2.271571083333333,11,#000000
2.271601083333334,12,#7f7f7f
2.321766666666667,0,#000000
2.321796666666667,1,#7f7f7f
2.321826666666666,2,#000000
2.321856666666667,3,#000000
2.321886750000000,4,#7f7f7f
2.321916750000000,5,#000000
2.321946750000000,6,#000000
2.321976750000000,7,#7f7f7f
2.322006750000000,8,#000000
2.322036833333333,9,#000000
2.322066833333333,10,#7f7f7f
2.322096833333333,11,#000000
2.322126833333333,12,#000000
2.372283166666667,0,#000000
2.372313166666667,1,#000000
2.372343250000000,2,#7f7f7f
2.372373250000000,3,#000000
2.372403250000000,4,#000000
2.372433250000000,5,#7f7f7f
2.372463250000000,6,#000000
2.372493333333333,7,#000000
2.372523333333334,8,#7f7f7f
2.372553333333333,9,#000000
2.372583333333333,10,#000000
2.372613333333333,11,#7f7f7f
2.372643416666667,12,#000000
2.422804000000000,0,#7f7f7f
2.422834083333333,1,#000000
2.422864083333333,2,#000000
2.422894083333333,3,#7f7f7f
2.422924083333333,4,#000000
2.422954083333333,5,#000000
2.422984083333333,6,#7f7f7f
2.423014166666666,7,#000000
2.423044166666667,8,#000000
2.423074166666667,9,#7f7f7f
2.423104166666667,10,#000000
2.423134166666667,11,#000000
2.423164250000000,12,#7f7f7f
2.473330833333333,0,#000000
2.473360833333333,1,#7f7f7f
2.473390833333333,2,#000000
2.473420833333333,3,#000000
2.473450916666667,4,#7f7f7f
2.473480916666666,5,#000000
2.473510916666667,6,#000000
2.473540916666667,7,#7f7f7f
2.473570916666667,8,#000000
2.473601000000000,9,#000000
2.473631000000000,10,#7f7f7f
2.473661000000000,11,#000000
2.473691000000000,12,#000000
2.523847583333333,0,#000000
2.523877583333333,1,#000000
2.523907583333334,2,#7f7f7f
2.523937583333333,3,#000000
2.523967583333333,4,#000000
2.523997666666667,5,#7f7f7f
2.524027666666667,6,#000000
2.524057666666667,7,#000000
2.524087666666667,8,#7f7f7f
2.524117666666667,9,#000000
2.524147750000000,10,#000000
2.524177750000000,11,#7f7f7f
2.524207750000000,12,#000000
2.574366833333333,0,#7f7f7f
2.574396833333333,1,#000000
2.574426833333333,2,#000000
2.574456916666667,3,#7f7f7f
2.574486916666667,4,#000000
2.574516916666667,5,#000000
2.574546916666667,6,#7f7f7f
2.574576916666667,7,#000000
2.574606916666667,8,#000000
2.574637000000000,9,#7f7f7f
2.574667000000000,10,#000000
2.574697000000000,11,#000000
2.574727000000000,12,#7f7f7f
2.624896583333333,0,#000000
2.624926583333334,1,#7f7f7f
2.624956583333333,2,#000000
2.624986583333333,3,#000000
2.625016666666667,4,#7f7f7f
2.625046666666667,5,#000000
2.625076666666667,6,#000000
2.625106666666666,7,#7f7f7f
2.625136666666667,8,#000000
2.625166750000000,9,#000000
2.625196750000000,10,#7f7f7f
2.625226750000000,11,#000000
2.625256750000000,12,#000000
2.675412833333333,0,#000000
2.675442833333333,1,#000000
2.675472833333334,2,#7f7f7f
2.675502833333333,3,#000000
2.675532833333333,4,#000000
2.675562833333333,5,#7f7f7f
2.675592916666667,6,#000000
2.675622916666667,7,#000000
2.675652916666666,8,#7f7f7f
2.675682916666667,9,#000000
2.675712916666667,10,#000000
2.675743000000000,11,#7f7f7f
2.675773000000000,12,#000000
2.725933666666667,0,#7f7f7f
2.725963666666666,1,#000000
2.725993666666667,2,#000000
2.726023666666667,3,#7f7f7f
2.726053666666667,4,#000000
